FPR,TPR
0.0,0.0
0.0,0.018518518518518517
0.0,0.1111111111111111
0.01,0.1111111111111111
0.02,0.12962962962962962
0.02,0.14814814814814814
0.03,0.16666666666666666
0.03,0.18518518518518517
0.04,0.2037037037037037
0.04,0.2222222222222222
0.04,0.25925925925925924
0.06,0.2777777777777778
0.06,0.2962962962962963
0.07,0.3148148148148148
0.07,0.37037037037037035
0.08,0.3888888888888889
0.08,0.4074074074074074
0.08,0.4444444444444444
0.1,0.46296296296296297
0.1,0.48148148148148145
0.1,0.5185185185185185
0.1,0.5370370370370371
0.12,0.5370370370370371
0.14,0.5925925925925926
0.14,0.6111111111111112
0.15,0.6296296296296297
0.15,0.6481481481481481
0.17,0.6481481481481481
0.19,0.6666666666666666
0.21,0.6666666666666666
0.24,0.6666666666666666
0.25,0.6666666666666666
0.26,0.6851851851851852
0.27,0.6851851851851852
0.28,0.7037037037037037
0.28,0.7222222222222222
0.29,0.7592592592592593
0.29,0.7777777777777778
0.3,0.7777777777777778
0.31,0.8148148148148148
0.32,0.8148148148148148
0.33,0.8518518518518519
0.36,0.8703703703703703
0.37,0.8703703703703703
0.37,0.8888888888888888
0.43,0.8888888888888888
0.46,0.8888888888888888
0.48,0.9259259259259259
0.49,0.9259259259259259
0.5,0.9444444444444444
0.53,0.9444444444444444
0.59,0.9444444444444444
0.63,0.9444444444444444
0.66,0.9444444444444444
0.68,0.9444444444444444
0.72,0.9444444444444444
0.73,0.9629629629629629
0.77,0.9629629629629629
0.82,1.0
0.84,1.0
0.9,1.0
0.94,1.0
1.0,1.0
