Batch,Accuracy,Precision,Recall,F1,Threshold
1,0.7368421052631579,0.5263157894736842,0.47619047619047616,0.5,0.5
2,0.5921052631578947,0.8,0.11764705882352941,0.20512820512820512,0.5
3,0.5657894736842105,0.43478260869565216,0.3333333333333333,0.37735849056603776,0.5
4,0.75,0.6551724137931034,0.6785714285714286,0.6666666666666666,0.5
5,0.7763157894736842,0.8,0.5517241379310345,0.6530612244897959,0.5
6,0.8552631578947368,0.5882352941176471,0.7142857142857143,0.6451612903225806,0.5
7,0.8421052631578947,0.7894736842105263,0.6521739130434783,0.7142857142857143,0.5
8,0.6973684210526315,0.55,0.44,0.4888888888888889,0.5
9,0.8214285714285714,0.8148148148148148,0.6875,0.7457627118644068,0.5
Mean,0.7374686716791979,0.6620882894561587,0.5168251180198884,0.5551459102458106,-
