,age,bp,sg,al,su,bgr,bu,sc,sod,pot,hemo,pcv,wbcc,rbcc
age,1.0,0.15947969344545357,-0.19109638084641015,0.1220909832081934,0.2208663254124246,0.24499219961690571,0.1969848707760301,0.13253086524238822,-0.1000459830759566,0.058377120010052574,-0.19292833896805348,-0.24211940926833414,0.11833852042973836,-0.26889628518788966
bp,0.15947969344545357,1.0,-0.21883606991698504,0.16068863862750543,0.22257602576667324,0.16019346180582364,0.18851724531031136,0.1462220201137385,-0.11642203572415553,0.0751510655719328,-0.3065398884398657,-0.3263193050079189,0.029753296531022846,-0.26193581014796197
sg,-0.19109638084641015,-0.21883606991698504,1.0,-0.46975984918600905,-0.29623374836036337,-0.3747095917361748,-0.3142949791915162,-0.36147283732349356,0.4121898133018187,-0.07278714191557083,0.6025822776111397,0.6035599000086806,-0.23621504317255865,0.5794757530039479
al,0.1220909832081934,0.16068863862750543,-0.46975984918600905,1.0,0.2693046462503098,0.3794642164810221,0.45352831725039083,0.3991983006303372,-0.4598960583583591,0.12903818382161436,-0.6346317780901195,-0.6118911251338761,0.23198928604222682,-0.5664367099595836
su,0.2208663254124246,0.22257602576667324,-0.29623374836036337,0.2693046462503098,1.0,0.7178267668666226,0.16858286812689052,0.22324408509178736,-0.13177561121110004,0.21944951520600187,-0.22477515765643116,-0.23918940362340435,0.184892578645887,-0.23744794733241031
bgr,0.24499219961690571,0.16019346180582364,-0.3747095917361748,0.3794642164810221,0.7178267668666226,1.0,0.14332202004581585,0.114874999840942,-0.26784758615768844,0.06696579455295658,-0.3061892815042019,-0.30138474341005056,0.15001468216754676,-0.2815407123595224
bu,0.1969848707760301,0.18851724531031136,-0.3142949791915162,0.45352831725039083,0.16858286812689052,0.14332202004581585,1.0,0.5863678207097767,-0.32305423528935295,0.3570490813524044,-0.6103602784857799,-0.6076213553320028,0.050462017082180025,-0.5790865252805202
sc,0.13253086524238822,0.1462220201137385,-0.36147283732349356,0.3991983006303372,0.22324408509178736,0.114874999840942,0.5863678207097767,1.0,-0.69015789205799,0.32610713186923984,-0.4016696244358105,-0.40419306442042574,-0.006389910334803634,-0.40085197686977414
sod,-0.1000459830759566,-0.11642203572415553,0.4121898133018187,-0.4598960583583591,-0.13177561121110004,-0.26784758615768844,-0.32305423528935295,-0.69015789205799,1.0,0.09788671547835229,0.3651826522575266,0.3769135520659442,0.007277275891275162,0.3448734820253089
pot,0.058377120010052574,0.0751510655719328,-0.07278714191557083,0.12903818382161436,0.21944951520600187,0.06696579455295658,0.3570490813524044,0.32610713186923984,0.09788671547835229,1.0,-0.1337460417648212,-0.16318228377469482,-0.10557621833452091,-0.15830931712780733
hemo,-0.19292833896805348,-0.3065398884398657,0.6025822776111397,-0.6346317780901195,-0.22477515765643116,-0.3061892815042019,-0.6103602784857799,-0.4016696244358105,0.3651826522575266,-0.1337460417648212,1.0,0.8953817669928064,-0.16941306580481363,0.7988802467445639
pcv,-0.24211940926833414,-0.3263193050079189,0.6035599000086806,-0.6118911251338761,-0.23918940362340435,-0.30138474341005056,-0.6076213553320028,-0.40419306442042574,0.3769135520659442,-0.16318228377469482,0.8953817669928064,1.0,-0.19702236172906487,0.7916252713729907
wbcc,0.11833852042973836,0.029753296531022846,-0.23621504317255865,0.23198928604222682,0.184892578645887,0.15001468216754676,0.050462017082180025,-0.006389910334803634,0.007277275891275162,-0.10557621833452091,-0.16941306580481363,-0.19702236172906487,1.0,-0.15816276252641198
rbcc,-0.26889628518788966,-0.26193581014796197,0.5794757530039479,-0.5664367099595836,-0.23744794733241031,-0.2815407123595224,-0.5790865252805202,-0.40085197686977414,0.3448734820253089,-0.15830931712780733,0.7988802467445639,0.7916252713729907,-0.15816276252641198,1.0
